question,answer,final_answer,dynamic
355,What is the Mission of Bicol University?,"the mission of the university states that the bicol university shall give professional and technical training, and provide advanced and specialized instruction in literature, philosophy, the sciences and arts, besides providing for the promotion of scientific and technological researches.","The mission of the university states that The Bicol University shall give professional and technical training, and provide advanced and specialized instruction in literature, philosophy, the sciences and arts, besides providing for the promotion of scientific and technological researches.",0
356,What is the Quality Policy of Bicol University?,"it's quality policy states that, bicol university commits to continually strive for excellence in instruction, research and extension by meeting the highest level of clientele satisfaction and adhering to quality standards and applicable statutory and regulatory requirements.","It's quality policy states that, Bicol University commits to continually strive for excellence in Instruction, Research and Extension by meeting the highest level of clientele satisfaction and adhering to quality standards and applicable statutory and regulatory requirements.",0
357,What are the goals of Bicol University,i apologize but it's too long and i can't display them entirely.,I apologize but it's too long and I can't display them entirely.,0
358,How can I contact the registrar of Gubat Campus,"unfortunately, we have record as of the moment.","Unfortunately, we have record as of the moment.",0
359,Can I enroll to undergraduate programs in BU?,"yes, and to qualify for admission, you need to pass the bucet.","Yes, and to qualify for admission, you need to pass the BUCET.",0
360,BUCET,"bucet or bicol university entrance exam is a three-hour examination consisting of sub-tests in language proficiency in english, mathematics, science and reading comprehension that needs to be taken in order to qualify for admission. ","BUCET or Bicol University Entrance Exam is a three-hour examination consisting of sub-tests in Language proficiency in English, Mathematics, Science and Reading Comprehension that needs to be taken in order to qualify for admission. ",0
361,When is the schedule for BUCET?,as of now bucet is temporarily halted and bucess has been adopted for the admission because of the pandemic. no schedule yet announced by the university.,As of now BUCET is temporarily halted and BUCESS has been adopted for the admission because of the pandemic. No schedule yet announced by the university.,0
362,What are the requirements for BUCESS,applicants must accomplish the student application portfolio found in this link https://bit.ly/3ry0ptl and attach original copies of the documents indicated.,Applicants must accomplish the Student Application Portfolio found in this link https://bit.ly/3ry0PTl and attach original copies of the documents indicated.,0
363,What are the documents needed for admission?,"the requirements are, bucess result, shs report card, medical and dental forms, psa birth certificate, good moral certificate, police clearance, long brown envelope, 2 long folders, 2 pcs 2x2 pictures, mailing envelope with mailing stamps worth 40 pesos.","The requirements are, BUCESS Result, SHS Report Card, Medical and Dental Forms, PSA Birth Certificate, Good Moral Certificate, Police Clearance, Long Brown Envelope, 2 Long Folders, 2 pcs 2x2 pictures, mailing envelope with mailing stamps worth 40 pesos.",0
364,Requirements for enrollment,"the requirements are, bucess result, shs report card, medical and dental forms, psa birth certificate, good moral certificate, police clearance, long brown envelope, 2 long folders, 2 pcs 2x2 pictures, mailing envelope with mailing stamps worth 40 pesos.","The requirements are, BUCESS Result, SHS Report Card, Medical and Dental Forms, PSA Birth Certificate, Good Moral Certificate, Police Clearance, Long Brown Envelope, 2 Long Folders, 2 pcs 2x2 pictures, mailing envelope with mailing stamps worth 40 pesos.",0
365,Where to send my admission requirements?,"you can send your documents to the office of the university registrar, bicol university, legazpi city and other designated drop boxes located in bu tabaco campus, bu gubat campus, bu polangui campus and bu college of agriculture and forestry..","You can send your documents to the Office of the University Registrar, Bicol University, Legazpi City and other designated drop boxes located in BU Tabaco Campus, BU Gubat Campus, BU Polangui Campus and BU College of Agriculture and Forestry..",0
366,Where are the drop off points for admission requirements?,"you can send your documents to the office of the university registrar, bicol university, legazpi city and other designated drop boxes located in bu tabaco campus, bu gubat campus, bu polangui campus and bu college of agriculture and forestry..","You can send your documents to the Office of the University Registrar, Bicol University, Legazpi City and other designated drop boxes located in BU Tabaco Campus, BU Gubat Campus, BU Polangui Campus and BU College of Agriculture and Forestry..",0
367,How to set an appointment at the university registrar's office?,"if you wish to set an appointment, access the appointment form through this link, https://bu-uro.appointlet.com and fill up the necessary information.","If you wish to set an appointment, access the appointment form through this link, https://bu-uro.appointlet.com and fill up the necessary information.",0
368,Contact information of the University Registrar's Office,you can contact them through their email address bu-uro@bicol-u.edu.ph or bu-uro@yahoo.com,You can contact them through their email address bu-uro@bicol-u.edu.ph or bu-uro@yahoo.com,0
369,BUCESS,bucess or bicol university college entrance exam is the adopted strategy of the university for admission of new students due to the pandemic.,BUCESS or Bicol University College Entrance Exam is the adopted strategy of the university for admission of new students due to the pandemic.,0
370,How can I qualify for freshmen admission?,the admission of new students is based on the applicants' bicol university college entrance test (bucet) composite rating consisting of the bucet score and your general weighted average (gwa) from grade 9 to 11.,The admission of new students is based on the applicants' Bicol University College Entrance Test (BUCET) Composite Rating consisting of the BUCET score and your general weighted average (GWA) from grade 9 to 11.,0
371,Can I take the BUCET?,you can take the bucet if you are a senior high school seniors expecting to graduate at the end of the school year; or senior high school graduates who have not taken and/are not taking any college subject/s; and holders of philippines educational placement test/ alternative learning system (pept/als) certificates who are eligible for admission to college.,You can take the BUCET if you are a senior high school seniors expecting to graduate at the end of the school year; OR Senior high school graduates who have not taken and/are not taking any college subject/s; AND Holders of Philippines Educational Placement Test/ Alternative Learning System (PEPT/ALS) certificates who are eligible for admission to college.,0
372,What is the cut-off rating for BUCET?,i do not have information for that because the bucet cut-off rating are set by the admissions office.,I do not have information for that because the BUCET cut-off rating are set by the Admissions Office.,0
373,How can I transfer to Bicol University?,"you can transfer to bu from another university if there are available slots in the college where you wish to transfer to and only the dean of the college shall declare the slot open or available. if you wish to transfer to bu, you must reach the office of admissions first in due time prior to the registration period together with the letter of intent for transfer.","You can transfer to BU from another university if there are available slots in the College where you wish to transfer to and only the Dean of the College shall declare the slot open or available. If you wish to transfer to BU, you must reach the Office of Admissions first in due time prior to the registration period together with the letter of intent for transfer.",0
374,What are the requirements for admission of transferees?,the requirements are certification from the dean/director of availability of place/slot in the college or unit you are transferring to; certification of grades duly signed by the registrar of the original school bearing the school's seal; or official transcript of records (otr) from the last school attended; and certificate of honorable dismissal.,The requirements are Certification from the Dean/Director of availability of place/slot in the College or Unit you are transferring to; Certification of grades duly signed by the Registrar of the original school bearing the school's seal; or Official transcript of records (OTR) from the last school attended; and Certificate of honorable dismissal.,0
375,Is there a processing fee for transfering to Bicol University?,you can ask directly to the registrar as the fees for processing of the transferees' documents will depend on the college because there is aptitude testing which some colleges require.,You can ask directly to the registrar as the fees for processing of the transferees' documents will depend on the college because there is aptitude testing which some colleges require.,0
376,Do I need to undergo interviews as transfer applicant?,"yes, you may still go through an interview in the college/unit you intend to transfer to or be subjected to other college/program requirements.","Yes, you may still go through an interview in the college/unit you intend to transfer to or be subjected to other college/program requirements.",0
377,How can I be eligible for transfer admission to Bicol University?,"you can be eligible for admission of transferees upon the result of multiple assessment procedures, including course-program aptitude test, if required by the college/unit/department; grade point average (gpa) of 2.0 or 89%; no failing grade in any of the courses taken; you shall not have finished more than twenty-five percent (25%) of the units required for the course; interview; and/or other assessment procedure(s) required by the college/unit/department.","You can be eligible for admission of transferees upon the result of multiple assessment procedures, including Course-program aptitude test, if required by the College/Unit/Department; Grade point average (GPA) of 2.0 or 89%; No failing grade in any of the courses taken; You shall not have finished more than twenty-five percent (25%) of the units required for the course; Interview; and/or Other assessment procedure(s) required by the College/Unit/Department.",0
378,Will the university recognize my units earned from my previous college if I transfer?,"yes, but only course units earned from colleges/universities with the same program accreditation level as bicol university or higher or those who are duly recognized by ched will be credited.","Yes, but only course units earned from colleges/universities with the same program accreditation level as Bicol University or higher or those who are duly recognized by CHED will be credited.",0
379,What is the limit of transfer credits in Bicol University?,the transfer credits shall not exceed twenty-five percent (25%) of the total number of units required for the course you wish to transfer.,The transfer credits shall not exceed twenty-five percent (25%) of the total number of units required for the course you wish to transfer.,0
380,Can I be admitted to Bicol University if I am a graduate of Technical-Vocational course?,yes you can and the documentary requirements and conditions set for transfer students will be applied to you.,Yes you can and the documentary requirements and conditions set for transfer students will be applied to you.,0
381,How can I shift from one course program to another?,"yes, you will be allowed to shift given that there is an available slot in the college you wish to transfer to.","Yes, you will be allowed to shift given that there is an available slot in the college you wish to transfer to.",0
382,What are the requirements in shifting to another course?,the requirements are letter of intent to transfer; certification from the dean/director of the availability of slot; and certification of grades duly signed by the college/unit registrar.,The requirements are Letter of intent to transfer; Certification from the Dean/Director of the availability of slot; and Certification of grades duly signed by the College/Unit Registrar.,0
383,Is there a fee for shifting a course program?,there will be a payment for processing fee of php 100.00.,There will be a payment for processing fee of Php 100.00.,0
384,How can I be readmitted to Bicol University after I stopped schooling?,if you stopped schooling due to ill health or any other valid reason can seek readmission by presenting medical or other documents to support your reason/s for dropping out of school. the college/unit has the right to refuse enrollment/re-admission of old/returning student it is proven that you violated the school's rules and regulations or you have existing academic deficiency.,If you stopped schooling due to ill health or any other valid reason can seek readmission by presenting medical or other documents to support your reason/s for dropping out of school. The college/unit has the right to refuse enrollment/re-admission of old/returning student it is proven that you violated the school's rules and regulations or you have existing academic deficiency.,0
385,How to be re-admitted upon returning from leave of absence?,"if you're returning from leave of absence, you shall present supporting papers or documents.","If you're returning from leave of absence, you shall present supporting papers or documents.",0
386,What are the requirements for returning old students?,an old student may be re-admitted upon presentation of his/her clearance duly signed by school officials concerned.,An old student may be re-admitted upon presentation of his/her clearance duly signed by school officials concerned.,0
387,What are the requirements for admission of undergraduate foreign students?,the requirements are original transcript of records (otr); personal data; affidavit of support; alien certificate of registration (acr); results of test on english as a foreign language (toefl); approved study permit from ched; and an application fee of $50.00,The requirements are Original Transcript of Records (OTR); Personal Data; Affidavit of Support; Alien Certificate of Registration (ACR); Results of Test on English as a Foreign Language (TOEFL); Approved study permit from CHED; and an application fee of $50.00,0
388,What are the requirements for admission of students from other nations who have graduated from high schools abroad?,"present a certification of completion of a secondary curriculum where the applicant had his/her secondary education; certification of proficiency in english based on the toefl score (for non-native speakers of english); qualifying in the bucet or any of the following international foreign-based examination in lieu of the bucet such as: scholastic aptitude test (sat) advanced with a minimum combined score of 1200 in mathematics, critical reading and writing sub-test areas.","Present a Certification of completion of a secondary curriculum where the applicant had his/her secondary education; Certification of proficiency in English based on the TOEFL score (for non-native speakers of English); Qualifying in the BUCET or any of the following International Foreign-based examination in lieu of the BUCET such as: Scholastic Aptitude Test (SAT) Advanced with a minimum combined score of 1200 in Mathematics, Critical Reading and Writing sub-test areas.",0
389,How can I register for admission?,the registration process includes filling out the prescribed forms and paying the required fees but students enrolled during the preceding semester including summer session are re-enrolled upon being cleared by the dean and other officials concerned.,The registration process includes filling out the prescribed forms and paying the required fees but students enrolled during the preceding semester including summer session are re-enrolled upon being cleared by the Dean and other officials concerned.,0
390,Can I enroll after the scheduled registration?,"unfortunately, you cannot be admitted past the admission or registration schedule.","Unfortunately, you cannot be admitted past the admission or registration schedule.",0
391,How long can I stay in Bicol University?,the maximum residency is the prescribed length of the program plus one year pursuant to the universal access to quality tertiary education act of 2017.,The maximum residency is the prescribed length of the program plus one year pursuant to the Universal Access to Quality Tertiary Education Act of 2017.,0
392,Maximum Residency Rule,the maximum residency is the prescribed length of the program plus one year pursuant to the universal access to quality tertiary education act of 2017.,The maximum residency is the prescribed length of the program plus one year pursuant to the Universal Access to Quality Tertiary Education Act of 2017.,0
393,What are the types of exams?,"there are two regular written examinations, the mid-term and the final examinations per semester plus oral or practical examinations upon the discretion of the subject instructor.","There are two regular written examinations, the mid-term and the final examinations per semester plus oral or practical examinations upon the discretion of the subject instructor.",0
394,What is the grading system?,"there are five adjectival ratings, outstanding, superior, very satisfactory, satisfactory, fair or average and poor.","There are five adjectival ratings, Outstanding, Superior, Very Satisfactory, Satisfactory, Fair or Average and Poor.",0
395,What is an outstanding rating?,"outstanding grade is from 1.0 - 1.4 with equivalent values of 99-100, 98, 97, 96, and 95 subsequently.","Outstanding Grade is from 1.0 - 1.4 with equivalent values of 99-100, 98, 97, 96, and 95 subsequently.",0
396,What is a superior rating?,"superior grade is from 1.5 - 1.7 with equivalent values of 94, 93, and 92 subsequently.","Superior Grade is from 1.5 - 1.7 with equivalent values of 94, 93, and 92 subsequently.",0
397,What is a very satisfactory rating?,"very satisfactory rating is from 1.8 - 2.5 with equivalent values of 91, 90, 89, 88, 87, 86, 85 and 84 subsequently.","Very Satisfactory Rating is from 1.8 - 2.5 with equivalent values of 91, 90, 89, 88, 87, 86, 85 and 84 subsequently.",0
398,What is a satisfactory rating?,"satisfactory rating is from 2.6 - 2.8 with equivalent values of 82-83, 80-81, and 78-79 subsequently.","Satisfactory Rating is from 2.6 - 2.8 with equivalent values of 82-83, 80-81, and 78-79 subsequently.",0
399,What is a fair or average rating?,"fair or average rating is from 2.9 - 3.0 with equivalent values of 76-77, and 75 subsequently.","Fair or Average Rating is from 2.9 - 3.0 with equivalent values of 76-77, and 75 subsequently.",0
400,What is a poor rating?,poor rating is from 3.1 - 4.0 with equivalent values of below 75.,Poor Rating is from 3.1 - 4.0 with equivalent values of below 75.,0
401,What is the lowest possible grade or rating?,3.1-4.0 are the lowest possible midterm ratings and 5.0 or failure is the lowest possible final rating,3.1-4.0 are the lowest possible midterm ratings and 5.0 or Failure is the lowest possible final rating,0
402,How many times can I retake a subject?,if you incurred a failing mark in any course work you are allowed to retake the subject not more than two times.,If you incurred a FAILING MARK in any course work you are allowed to retake the subject not more than two times.,0
403,What is the maintaining grade in Graduate School?,"the passing grade in the graduate school is 3.0, but a graduate student has to maintain a general weighted average of 2.0.","The passing grade in the Graduate School is 3.0, but a graduate student has to maintain a general weighted average of 2.0.",0
404,What will happen if I did not achieve a passing grade?,you will not be allowed to take the comprehensive examination and will subsequently be disqualified from earning the degree.,You will not be allowed to take the comprehensive examination and will subsequently be disqualified from earning the degree.,0
405,What is the grade of incomplete?,"an inc grade indicates incomplete course work until removed, the inc is not included in the computation of the students gwa.","An INC grade indicates incomplete course work until removed, the INC is not included in the computation of the students GWA.",0
406,Can INC grade be removed?,you must contact your professor on how to remove your inc grade.,You must contact your professor on how to remove your INC grade.,0
407,How long can I remove my INC grade?,you will be given one school year for your completion of subjects.,You will be given one school year for your completion of subjects.,0
408,What will happen if I cannot complete an INC grade?,your inc will be converted to a failing grade by the college registrar upon written instruction from the concerned professor(s).,Your INC will be converted to a failing grade by the College Registrar upon written instruction from the concerned professor(s).,0
409,I can't contact my professor that gave me an INC grade,"in the event that the concerned professor(s) cannot be contacted (due to resignation, retirement, death, etc.), the dean is empowered to make decisions for the concerned professor(s) in consultation with the department chair.","In the event that the concerned professor(s) cannot be contacted (due to resignation, retirement, death, etc.), the Dean is empowered to make decisions for the concerned professor(s) in consultation with the Department Chair.",0
410,What are the graduation requirements?,you will be recommended for graduation only after you have satisfied all academic and other requirements prescribed for graduation. you will not be allowed to graduate from the university unless you are in residence during the last two terms/semesters of his course.,You will be recommended for graduation only after you have satisfied all academic and other requirements prescribed for graduation. You will not be allowed to graduate from the University unless you are in residence during the last two terms/semesters of his course.,0
411,What qualifies as summa cum laude?,"summa cum laude is awarded to students with gwa ≤ 1.25, given that they have carried the regular load per semester.","Summa Cum Laude is awarded to students with GWA ≤ 1.25, given that they have carried the regular load per semester.",0
412,What qualifies as magna cum laude?,"magna cum laude is awarded to students with 1.25 < gwa ≤ 1.45, given that they have carried the regular load per semester.","Magna Cum Laude is awarded to students with 1.25 < GWA ≤ 1.45, given that they have carried the regular load per semester.",0
413,What qualifies as cum laude?,"cum laude is awarded to students with 1.45 < gwa ≤ 1.75 , given that they have carried the regular load per semester.","Cum Laude is awarded to students with 1.45 < GWA ≤ 1.75 , given that they have carried the regular load per semester.",0
414,I have met the required GWA for latin honors but I failed to meet the other requirements,"if you are a graduating student who meets the required general weighted average (gwa) but fails to meet other requirements for the graduation with honors, you will be awarded 'with academic distinction'.","If you are a graduating student who meets the required general weighted average (GWA) but fails to meet other requirements for the graduation with honors, you will be awarded 'with ACADEMIC DISTINCTION'.",0
415,What are the qualifications for Academic Distinction?,you must have no grade lower than 3.0 in any of the subjects regardless of whether that subject was taken in the university or elsewhere.,You must have no grade lower than 3.0 in any of the subjects regardless of whether that subject was taken in the University or elsewhere.,0
416,"I am a transferee, can I be awarded with academic distinction?","if you were a transferee, you must have completed in the bicol university at least seventy-five (75%) of the total number of units prescribed in your curriculum and must be in residence for at least six (6) semesters/terms immediately preceding graduation.","If you were a transferee, you must have completed in the Bicol University at least seventy-five (75%) of the total number of units prescribed in your curriculum and must be in residence for at least six (6) semesters/terms immediately preceding graduation.",0
417,Non-Academic Awards and Incentives for graduating students,"the university also gives due recognition to a graduating student who excels in your academics, leadership, service and sports activities. likewise, to winners in the regional, national competitions and to the topnotchers in board examinations.","The University also gives due recognition to a graduating student who excels in your academics, leadership, service and sports activities. Likewise, to winners in the regional, national competitions and to the topnotchers in board examinations.",0
418,What are the awards and recognition during college recognition?,"the awards are with highest honor for students with gwa ≤ 1.25, with higher honor for students with 1.25 < gwa ≤ 1.45, and with high honor for students with 1.45 < gwa ≤ 1.75","The awards are With highest honor for students with GWA ≤ 1.25, With higher honor for students with 1.25 < GWA ≤ 1.45, and With high honor for students with 1.45 < GWA ≤ 1.75",0
419,How to get my transcript of records and diploma?,you must go to your respective registrars and make a request or application for a transcript of records. present your student's clearance and official receipt of transcript payment.,You must go to your respective registrars and make a request or application for a transcript of records. Present your student's clearance and official receipt of transcript payment.,0
420,What are the procedures for cost recovery?,"you must inform your registar, fill out the cost recovery form not later than two weeks before enrollment and keep in touch with your registrar.","You must inform your registar, fill out the cost recovery form not later than two weeks before enrollment and keep in touch with your registrar.",0
421,How much is the cost for Cost Recovery Subjects?,the computation for payment of honorarium shall be as follows: hourly rate of faculty times the number of hours divided by the number of students.,The computation for payment of honorarium shall be as follows: Hourly rate of faculty times the number of hours divided by the number of students.,0
422,How many hours is one credit load or unit?,"one unit of credit shall be at least eighteen (18) full hours of instruction per semester in the form of lecture, discussion, seminar, tutorial, or equivalent field or any combination of these forms.","One unit of credit shall be at least eighteen (18) full hours of instruction per semester in the form of lecture, discussion, seminar, tutorial, or equivalent field or any combination of these forms.",0
423,What is the Academic load limit per semester,the regular academic load for undergraduate students shall be that which is prescribed in the curriculum in a semester for a certain program/course,The regular academic load for undergraduate students shall be that which is prescribed in the curriculum in a semester for a certain program/course,0
424,Am I allowed to carry an additional load?,only graduating students with satisfactory academic record may be permitted to carry an additional load of one or two subjects in their last semester and the total load does not exceed thirty-three (33) units per semester,Only graduating students with satisfactory academic record may be permitted to carry an additional load of one or two subjects in their last semester and the total load does not exceed thirty-three (33) units per semester,0
425,What are the Classification of Students,"undergraduate students are classified as regular, irregular, non-regular, and foreign. students are also classified, for purposes of registration as first year, sophomore, junior, senior and pre-senior.","Undergraduate students are classified as regular, irregular, non-regular, and foreign. Students are also classified, for purposes of registration as First Year, Sophomore, Junior, Senior and Pre-senior.",0
426,What are regular students?,"a regular undergraduate student is registered for formal academic credits, and carries the subjects called for by the curriculum for which they are registered in a given semester.","A Regular Undergraduate Student is registered for formal academic credits, and carries the subjects called for by the curriculum for which they are registered in a given semester.",0
427,What are irregular students?,"an irregular student is one who is registered for formal academic credits, but does not carry the full semester load called for by the curriculum for which you are registered in a given semester.","An Irregular Student is one who is registered for formal academic credits, but does not carry the full semester load called for by the curriculum for which you are registered in a given semester.",0
428,What are non-regular students?,"a non-regular student is one who is registered for formal academic credits, but not for a degree or is registered but does not receive formal academic credit/s for subjects taken.","A Non-Regular student is one who is registered for formal academic credits, but not for a degree or is registered but does not receive formal academic credit/s for subjects taken.",0
429,Who are considered as non-regular students?,classified as non-regular students are the following: a) non-degree students with credits b) cross registrants with credits and c) special students without credits.,Classified as non-regular students are the following: a) Non-degree students with credits b) Cross registrants with credits and c) Special students without credits.,0
430,Who are considered as foreign students?,a foreign student is one who is a citizen /subject or resident of another country qualified for admission and submitted all the documentary and other requirements of the university.,A Foreign Student is one who is a citizen /subject or resident of another country qualified for admission and submitted all the documentary and other requirements of the University.,0
431,Who are considered as pre-senior students?,"a student in a five-year degree program is classified as a pre-senior if you have completed not less than sixty (60) percent, but not more than eighty (80) percent of the total number of units required for the course. ","A student in a five-year degree program is classified as a pre-senior if you have completed not less than sixty (60) percent, but not more than eighty (80) percent of the total number of units required for the course. ",0
432,How many libraries does BU have?,"the university library system is composed of the university library and ten (10) unit/college libraries, namely, ce library, cn library, the ils-elementary department library and the ils-high school department which are located in the main campus; the east campus library (ceng & cit), daraga campus library (cssp & cbem), caf library, pc library, tc library and the gc library.","The University Library System is composed of the University Library and ten (10) Unit/College libraries, namely, CE Library, CN Library, the ILS-Elementary Department Library and the ILS-High School Department which are located in the Main Campus; the East Campus Library (CEng & CIT), Daraga Campus Library (CSSP & CBEM), CAF Library, PC Library, TC Library and the GC Library.",0
433,Number of Libraries of BU,"the university library system is composed of the university library and ten (10) unit/college libraries, namely, ce library, cn library, the ils-elementary department library and the ils-high school department which are located in the main campus; the east campus library (ceng & cit), daraga campus library (cssp & cbem), caf library, pc library, tc library and the gc library.","The University Library System is composed of the University Library and ten (10) Unit/College libraries, namely, CE Library, CN Library, the ILS-Elementary Department Library and the ILS-High School Department which are located in the Main Campus; the East Campus Library (CEng & CIT), Daraga Campus Library (CSSP & CBEM), CAF Library, PC Library, TC Library and the GC Library.",0
434,Who can use the libraries of the university?,"all bona fide students of bicol university (graduate, medicine, undergraduate, secondary and elementary) are entitled to use the facilities of the libraries in all units/colleges provided that they present the library card duly validated","All bona fide students of Bicol University (Graduate, Medicine, Undergraduate, Secondary and Elementary) are entitled to use the facilities of the libraries in all units/colleges provided that they present the library card duly validated",0
435,How to apply for a library card?,you must secure an application form the unit/college librarian concerned by presenting the certificate of registration (cor). the library cards will then be issued in due time after the students have submitted the duly accomplished form together with two copies of recent 1x1 id photos,You must secure an application form the unit/college librarian concerned by presenting the Certificate of Registration (COR). The library cards will then be issued in due time after the students have submitted the duly accomplished form together with two copies of recent 1x1 ID photos,0
436,What is the purpose of my Library Card?,your library card shall be used as an identification and passport when entering the unit/college libraries and in borrowing book/s for overnight or over-weekend use.,Your library card shall be used as an identification and passport when entering the unit/college libraries and in borrowing book/s for overnight or over-weekend use.,0
437,What is the validity of my Library Card?,the library card issued to will be used throughout your stay in the university and is non-transferrable.,The library card issued to will be used throughout your stay in the University and is non-transferrable.,0
438,How can I borrow a book from the Library?,to borrow a book you may present to the librarian-in-charge the book with the signed book card together with the currently validated library card.,To borrow a book you may present to the Librarian-in-charge the book with the signed book card together with the currently validated library card.,0
439,Can I borrow a book or other materials for someone else in the Library?,"no, you can't borrow and/or sign for books and other library materials on behalf of someone else.","No, you can't borrow and/or sign for books and other library materials on behalf of someone else.",0
440,Can I borrow other materials than books?,"you can borrow other materials than books but general references like encyclopedias, dictionaries, indexes, yearbooks, handbooks, atlases, newspapers, magazines and journals are for room use only.","You can borrow other materials than books but General references like encyclopedias, dictionaries, indexes, yearbooks, handbooks, atlases, newspapers, magazines and journals are FOR ROOM USE ONLY.",0
441,Can I borrow dissertations?,"yes, but they are for room use only","Yes, but they are FOR ROOM USE ONLY",0
442,Can I borrow journals?,"yes, but they are for room use only","Yes, but they are FOR ROOM USE ONLY",0
443,Can I borrow a thesis?,"yes, but they are for room use only","Yes, but they are FOR ROOM USE ONLY",0
444,Can I borrow feasibility studies?,"yes, but they are for room use only","Yes, but they are FOR ROOM USE ONLY",0
445,Can I borrow manuscripts?,"yes, but they are for room use only","Yes, but they are FOR ROOM USE ONLY",0
446,Can I photocopy dissertations?,"no, special collections like dissertations, theses, project feasibility studies and other rare book collections and manuscripts are not allowed to be photocopied. you are required to comply with the copyright law.","No, Special collections like dissertations, theses, project feasibility studies and other rare book collections and manuscripts are NOT ALLOWED TO BE PHOTOCOPIED. You are required to comply with the copyright law.",0
447,Can I photocopy journals?,"no, special collections like dissertations, theses, project feasibility studies and other rare book collections and manuscripts are not allowed to be photocopied. you are required to comply with the copyright law.","No, Special collections like dissertations, theses, project feasibility studies and other rare book collections and manuscripts are NOT ALLOWED TO BE PHOTOCOPIED. You are required to comply with the copyright law.",0
448,Can I photocopy a thesis?,"no, special collections like dissertations, theses, project feasibility studies and other rare book collections and manuscripts are not allowed to be photocopied. you are required to comply with the copyright law.","No, Special collections like dissertations, theses, project feasibility studies and other rare book collections and manuscripts are NOT ALLOWED TO BE PHOTOCOPIED. You are required to comply with the copyright law.",0
449,Can I photocopy feasibility studies?,"no, special collections like dissertations, theses, project feasibility studies and other rare book collections and manuscripts are not allowed to be photocopied. you are required to comply with the copyright law.","No, Special collections like dissertations, theses, project feasibility studies and other rare book collections and manuscripts are NOT ALLOWED TO BE PHOTOCOPIED. You are required to comply with the copyright law.",0
450,Can I photocopy manuscripts?,"no, special collections like dissertations, theses, project feasibility studies and other rare book collections and manuscripts are not allowed to be photocopied. you are required to comply with the copyright law.","No, Special collections like dissertations, theses, project feasibility studies and other rare book collections and manuscripts are NOT ALLOWED TO BE PHOTOCOPIED. You are required to comply with the copyright law.",0
451,How many days am I allowed to keep the book I borrowed?,a reserved book may be borrowed for overnight or week-end use at the last hour before closing time to be returned on or before 9:00 a.m. the following school day,A Reserved book may be borrowed for overnight or week-end use at the last hour before closing time to be returned on or before 9:00 A.M. the following school day,0
452,Can I borrow more than one book?,you can borrow a maximum of two (2) non-reserved circulation books for overnight or weekend use to be returned on or before 9:00 a.m. the following school day.,You can borrow a maximum of two (2) Non-reserved Circulation books for overnight or weekend use to be returned on or before 9:00 A.M. the following school day.,0
453,Can I borrow a book for a week?,"only a fiction book may be borrowed for a week and may be renewed for another week, unless a borrower signifies to borrow the same.","Only a Fiction book may be borrowed for a week and may be renewed for another week, unless a borrower signifies to borrow the same.",0
454,What are the university library hours?,the university library is open on mondays-friday from 8:00 am - 7:00 pm and on saturdays from 8:00 am - 5:00 pm,The university library is open on Mondays-Friday from 8:00 AM - 7:00 PM and on Saturdays from 8:00 AM - 5:00 PM,0
455,Is the university library open on weekends?,"yes, the university library is open during saturdays from 8:00 am - 5:00 pm","Yes, the university library is open during Saturdays from 8:00 AM - 5:00 PM",0
456,What are the tabaco campus library hours?,the tabaco campus library is open during weekdays: 8:00 am - 6:00 pm (no noon break) and saturdays: 8:00 am - 5:00 pm (no noon break),The Tabaco Campus Library is open during Weekdays: 8:00 AM - 6:00 PM (no NOON BREAK) and Saturdays: 8:00 AM - 5:00 PM (no NOON BREAK),0
457,What time does the tabaco campus Library opens and closes?,the tabaco campus library is open during weekdays: 8:00 am - 6:00 pm (no noon break) and saturdays: 8:00 am - 5:00 pm (no noon break),The Tabaco Campus Library is open during Weekdays: 8:00 AM - 6:00 PM (no NOON BREAK) and Saturdays: 8:00 AM - 5:00 PM (no NOON BREAK),0
458,What is the east campus library hours?,the east campus library is open on weekdays: 8:00 am - 6:00 pm (no noon break) and closed on saturdays,The East Campus Library is open on Weekdays: 8:00 AM - 6:00 PM (no NOON BREAK) and closed on Saturdays,0
459,What time does the east campus Library opens and closes?,the east campus library is open on weekdays: 8:00 am - 6:00 pm (no noon break) and closed on saturdays,The East Campus Library is open on Weekdays: 8:00 AM - 6:00 PM (no NOON BREAK) and closed on Saturdays,0
460,What are the college of nursing library hours?,college of nursing library is open on weekdays: 8:00 am - 6:00 pm (no noon break) and closed on saturdays,College of Nursing Library is open on Weekdays: 8:00 AM - 6:00 PM (no NOON BREAK) and closed on Saturdays,0
461,What time does the College of nursing Library opens and closes?,college of nursing library is open on weekdays: 8:00 am - 6:00 pm (no noon break) and closed on saturdays,College of Nursing Library is open on Weekdays: 8:00 AM - 6:00 PM (no NOON BREAK) and closed on Saturdays,0
462,What are the ILS-Children's Library hours?,the ils-children's library is open on weekdays: 7:40 am - 5:00 pm (no noon break) and closed on saturdays,The ILS-Children's Library is open on Weekdays: 7:40 AM - 5:00 PM (no NOON BREAK) and closed on Saturdays,0
463,What time does the  ILS-Children's Library opens and closes?,the ils-children's library is open on weekdays: 7:40 am - 5:00 pm (no noon break) and closed on saturdays,The ILS-Children's Library is open on Weekdays: 7:40 AM - 5:00 PM (no NOON BREAK) and closed on Saturdays,0
